molecule_chembl_id,canonical_smiles,type,standard_value,value
CHEMBL2177757,O=C(Cc1ccccc1)Nc1nnc(CCSCCc2nnc(NC(=O)Cc3ccccc3)s2)s1,Inhibition,4.99,4.99
CHEMBL4081711,CC[C@@H]1[C@H](F)C(=O)N[C@@H]1COc1nccc2cc(C(N)=O)c(OC)cc12,Inhibition,17.59,17.59
CHEMBL1616414,O=c1ccc2[n+]([O-])c3ccc(O)cc3oc-2c1,Inhibition,-3.24,-3.24
CHEMBL3901007,O=C(OC(C(F)(F)F)C(F)(F)F)N1CCC(C(O)(c2ccc3c(c2)OCO3)c2ccc3c(c2)OCO3)CC1,Inhibition,7.61,7.61
CHEMBL25101,NCCCNCCCCNCCCNC(=O)Cc1cccc2ccccc12,Inhibition,13.73,13.73
CHEMBL4447328,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c(C(N)=O)c2N)C1,Inhibition,16.58,16.58
CHEMBL1331128,Cc1cc(-c2cc(C)c(N)c(C)c2)cc(C)c1N,Inhibition,-1.39,-1.39
CHEMBL1553873,COc1cc(N(C)C)cc(CN(C)CCc2ccc([N+](=O)[O-])cc2)c1O,Inhibition,99.81,99.81
CHEMBL2177300,CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(Cl)cc2)C[C@@H]1C,Inhibition,0.34,0.34
CHEMBL93215,COc1ccc(Br)c(C=O)c1O,Inhibition,5.77,5.77
CHEMBL1233300,O=S(=O)(c1cccc2c(O)nccc12)N1CCCNCC1,Inhibition,18.62,18.62
CHEMBL105360,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)cc2)ccc1O,Inhibition,-6.76,-6.76
CHEMBL282748,COC(=O)[C@H](CC(C)C)NC(=O)c1ccc(NC[C@@H](N)CS)cc1-c1cccc2ccccc12,Inhibition,-8.56,-8.56
CHEMBL3793424,Cc1c(-c2ccc(N3CCc4cccc(C(=O)Nc5nc6ccccc6s5)c4C3)nc2C(=O)O)cnn1CC12CC3CC(CC(C3)C1)C2,Inhibition,43.57,43.57
CHEMBL282731,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H](C(=O)O)[C@@H](OC(=O)/C=C/c1ccc(O)c(O)c1)C(=O)O,Inhibition,17.64,17.64
CHEMBL4525049,N[C@H]1CC[C@H](Nc2cc(-c3cccc(NCc4cccc(F)c4)n3)c(Cl)cn2)CC1,Inhibition,7.12,7.12
CHEMBL859,Oc1nc(O)c2cn[nH]c2n1,Inhibition,-1.21,-1.21
CHEMBL4089730,COc1nc(OCc2cccc(-c3ccccc3)c2C)ccc1CNCCNC(C)=O,Inhibition,6.06,6.06
CHEMBL3186509,O=C(CCN1CCN(C(=O)OCc2cc(Cl)cc(Cl)c2)CC1)c1ccc2[nH]c(=O)oc2c1,Inhibition,-0.89,-0.89
CHEMBL208943,O=C(c1c2ccccc2cc2ccccc12)N1CCC(N2CCC[C@@H](C(=O)N3CCOCC3)C2)CC1,Inhibition,40.29,40.29
CHEMBL2431867,CC(C)c1ccc(-c2cc(=O)c3ccccc3o2)cc1,Inhibition,7.17,7.17
CHEMBL436559,CC(C)c1ccc(C(=O)N=C(N)N)cc1S(C)(=O)=O,Inhibition,13.04,13.04
CHEMBL4582651,CO[C@]1(C(=O)N[C@@H](C)c2ccc(-n3cc(F)cn3)nc2)CC[C@H](c2nc(C)cc(Nc3cc(C)[nH]n3)n2)CC1,Inhibition,11.3,11.3
CHEMBL4460029,Cc1ccc(S(=O)(=O)Nc2ccc(-n3nc(C(F)(F)F)cc3C(F)(F)F)cc2)cc1,Inhibition,13.36,13.36
CHEMBL3407552,O=C1c2ccccc2C(=O)c2oc(-c3ccccc3)nc21,Inhibition,-17.95,-17.95
CHEMBL10557,COc1ccc(CCc2cc(OC)c(OC)c(OC)c2)cc1O,Inhibition,-4.55,-4.55
CHEMBL674,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,Inhibition,-3.95,-3.95
CHEMBL486422,O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc12,Inhibition,-4.2,-4.2
CHEMBL432038,N[C@](CC1c2ccccc2Oc2ccccc21)(C(=O)O)[C@H]1C[C@@H]1C(=O)O,Inhibition,-3,-3
CHEMBL262202,CSCC[C@H](NC(=O)[C@@H](N)Cc1ccccc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,Inhibition,-5.18,-5.18
CHEMBL226646,Cc1nnc(-c2ccc(N3CCC(Oc4cc(F)ccc4Cl)CC3)nn2)o1,Inhibition,-0.96,-0.96
CHEMBL3601398,COc1cc2c(cc1OC(C)C)[C@H](c1ccc(Cl)cc1)N(c1ccc(N(C)C[C@H]3CC[C@H](N4CCN(C)C(=O)C4)CC3)cc1)C(=O)C2,Inhibition,-8.06,-8.06
CHEMBL3754515,Nc1ccc(-c2cnc(N)c(-c3ccc(Cl)cc3)c2)cn1,Inhibition,-20.47,-20.47
CHEMBL584991,Nc1nonc1/C(=N/O)Nc1ccc(F)c(Cl)c1,Inhibition,6.04,6.04
CHEMBL516312,N#Cc1ccc(-c2cnc3[nH]cc(NC(=O)c4cccnc4)c3c2)cc1,Inhibition,1.79,1.79
CHEMBL3989926,COCCNCc1ccc(-c2cc3nccc(Oc4ccc(NC(=O)C5(C(=O)Nc6ccc(F)cc6)CC5)cc4F)c3s2)nc1,Inhibition,10.45,10.45
CHEMBL63354,O=c1cc(-c2ccc(O)c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc(O)cc(O)c12,Inhibition,17.91,17.91
CHEMBL404594,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC)C(C)C)[C@@H](C)CC)C(=O)O,Inhibition,17.83,17.83
CHEMBL3604793,CN1CCN(c2ccc(-c3ccncc3-c3cc(F)c(O)c(F)c3)cc2)CC1,Inhibition,-0.97,-0.97
CHEMBL231616,NC(=S)N/N=C/c1ncccc1N,Inhibition,35.51,35.51
CHEMBL399379,COc1ccc(-c2ccccc2)cc1NS(=O)(=O)c1cc(Cl)cc(Cl)c1O,Inhibition,17.41,17.41
CHEMBL92708,CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,Inhibition,25.49,25.49
CHEMBL258004,c1cc(NC2CCNCC2)nc(-c2cnc3ccccn23)c1,Inhibition,14.19,14.19
CHEMBL4445682,COc1cc(C(=O)Nc2cc(OC(F)(F)F)ccc2-n2cncn2)ccc1OCC1CC1,Inhibition,-2.73,-2.73
CHEMBL95692,COc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,Inhibition,7.44,7.44
